List of benchmarks,d_0_5000,,,,,,,,,,,,,,,,,,
IPS Performance(3D),43.344,,,,,,,,,,,,,,,,,,
Core Power(3D),8.27647,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.1247,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,,,
Bank Power(3D),0.199562,,,,,,,,,,,,,,,,,,
Maximum Layer wise Bank Temperature(3D),93.33,98.29,99.85,99.71,98.29,99.95,100.6,100.26,99.85,100.6,100.79,100.33,99.71,100.26,100.33,99.87,,,
LC Temperature,69.28,,,,,,,,,,,,,,,,,,
Core Temperature(3D),72.85,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),100.79,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),102.09,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,d_1_5000,,,,,,,,,,,,,,,,,,
IPS Performance(3D),43.344,,,,,,,,,,,,,,,,,,
Core Power(3D),6.89783,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.2494,0.1247,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,,,
Bank Power(3D),0.199562,,,,,,,,,,,,,,,,,,
Maximum Layer wise Bank Temperature(3D),97.78,95.29,98.6,99.33,99.37,99.46,100.12,100.03,100.03,100.56,100.67,100.22,99.75,100.25,100.28,99.82,,,
LC Temperature,65.46,,,,,,,,,,,,,,,,,,
Core Temperature(3D),67.86,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),100.67,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),101.97,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,d_2_5000,,,,,,,,,,,,,,,,,,
IPS Performance(3D),43.344,,,,,,,,,,,,,,,,,,
Core Power(3D),9.65137,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.2494,0.2494,0.1247,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,,,
Bank Power(3D),0.199562,,,,,,,,,,,,,,,,,,
Maximum Layer wise Bank Temperature(3D),99.33,98.6,95.29,97.78,100.03,100.12,99.46,99.37,100.22,100.67,100.56,100.03,99.82,100.28,100.25,99.75,,,
LC Temperature,73.15,,,,,,,,,,,,,,,,,,
Core Temperature(3D),77.88,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),100.67,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),101.97,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,d_3_5000,,,,,,,,,,,,,,,,,,
IPS Performance(3D),43.344,,,,,,,,,,,,,,,,,,
Core Power(3D),6.35835,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.2494,0.2494,0.2494,0.1247,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,,,
Bank Power(3D),0.199562,,,,,,,,,,,,,,,,,,
Maximum Layer wise Bank Temperature(3D),99.71,99.85,98.29,93.33,100.26,100.6,99.95,98.29,100.33,100.79,100.6,99.85,99.87,100.33,100.26,99.71,,,
LC Temperature,70.79,,,,,,,,,,,,,,,,,,
Core Temperature(3D),69.03,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),100.79,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),102.09,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,d_4_5000,,,,,,,,,,,,,,,,,,
IPS Performance(3D),43.344,,,,,,,,,,,,,,,,,,
Core Power(3D),9.30342,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.2494,0.2494,0.2494,0.2494,0.1247,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,,,
Bank Power(3D),0.199562,,,,,,,,,,,,,,,,,,
Maximum Layer wise Bank Temperature(3D),97.78,99.37,100.03,99.75,95.29,99.46,100.56,100.25,98.6,100.12,100.67,100.28,99.33,100.03,100.22,99.82,,,
LC Temperature,71.61,,,,,,,,,,,,,,,,,,
Core Temperature(3D),76.34,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),100.67,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),101.97,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,d_5_5000,,,,,,,,,,,,,,,,,,
IPS Performance(3D),43.344,,,,,,,,,,,,,,,,,,
Core Power(3D),9.38221,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.2494,0.2494,0.2494,0.2494,0.2494,0.1247,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,,,
Bank Power(3D),0.199562,,,,,,,,,,,,,,,,,,
Maximum Layer wise Bank Temperature(3D),98.86,98.88,99.55,99.53,98.88,96.89,99.66,100,99.55,99.66,100.26,100.1,99.53,100,100.1,99.72,,,
LC Temperature,71.68,,,,,,,,,,,,,,,,,,
Core Temperature(3D),76.56,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),100.26,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),101.54,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,d_6_5000,,,,,,,,,,,,,,,,,,
IPS Performance(3D),43.344,,,,,,,,,,,,,,,,,,
Core Power(3D),7.95435,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.1247,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,,,
Bank Power(3D),0.199562,,,,,,,,,,,,,,,,,,
Maximum Layer wise Bank Temperature(3D),99.53,99.55,98.88,98.86,100,99.66,96.89,98.88,100.1,100.26,99.66,99.55,99.72,100.1,100,99.53,,,
LC Temperature,72.71,,,,,,,,,,,,,,,,,,
Core Temperature(3D),73.87,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),100.26,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),101.54,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,d_7_5000,,,,,,,,,,,,,,,,,,
IPS Performance(3D),43.344,,,,,,,,,,,,,,,,,,
Core Power(3D),7.12186,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.1247,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,,,
Bank Power(3D),0.199562,,,,,,,,,,,,,,,,,,
Maximum Layer wise Bank Temperature(3D),99.75,100.03,99.37,97.78,100.25,100.56,99.46,95.29,100.28,100.67,100.12,98.6,99.82,100.22,100.03,99.33,,,
LC Temperature,69.72,,,,,,,,,,,,,,,,,,
Core Temperature(3D),70.33,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),100.67,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),101.97,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,d_8_5000,,,,,,,,,,,,,,,,,,
IPS Performance(3D),43.344,,,,,,,,,,,,,,,,,,
Core Power(3D),8.02175,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.1247,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,,,
Bank Power(3D),0.199562,,,,,,,,,,,,,,,,,,
Maximum Layer wise Bank Temperature(3D),99.33,100.03,100.22,99.82,98.6,100.12,100.67,100.28,95.29,99.46,100.56,100.25,97.78,99.37,100.03,99.75,,,
LC Temperature,68.39,,,,,,,,,,,,,,,,,,
Core Temperature(3D),71.83,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),100.67,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),101.97,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,d_9_5000,,,,,,,,,,,,,,,,,,
IPS Performance(3D),43.344,,,,,,,,,,,,,,,,,,
Core Power(3D),9.15416,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.1247,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,,,
Bank Power(3D),0.199562,,,,,,,,,,,,,,,,,,
Maximum Layer wise Bank Temperature(3D),99.53,100,100.1,99.72,99.55,99.66,100.26,100.1,98.88,96.89,99.66,100,98.86,98.88,99.55,99.53,,,
LC Temperature,71.36,,,,,,,,,,,,,,,,,,
Core Temperature(3D),75.87,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),100.26,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),101.54,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,d_10_5000,,,,,,,,,,,,,,,,,,
IPS Performance(3D),37.632,,,,,,,,,,,,,,,,,,
Core Power(3D),8.61536,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.1247,0.2494,0.2494,0.2494,0.2494,0.2494,,,
Bank Power(3D),0.199562,,,,,,,,,,,,,,,,,,
Maximum Layer wise Bank Temperature(3D),99.72,100.1,100,99.53,100.1,100.26,99.66,99.55,100,99.66,96.89,98.88,99.53,99.55,98.88,98.86,,,
LC Temperature,73.23,,,,,,,,,,,,,,,,,,
Core Temperature(3D),75.46,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),100.26,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),101.54,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,d_11_5000,,,,,,,,,,,,,,,,,,
IPS Performance(3D),54.117,,,,,,,,,,,,,,,,,,
Core Power(3D),8.47379,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.1247,0.2494,0.2494,0.2494,0.2494,,,
Bank Power(3D),0.199562,,,,,,,,,,,,,,,,,,
Maximum Layer wise Bank Temperature(3D),99.82,100.22,100.03,99.33,100.28,100.67,100.12,98.6,100.25,100.56,99.46,95.29,99.75,100.03,99.37,97.78,,,
LC Temperature,70.25,,,,,,,,,,,,,,,,,,
Core Temperature(3D),73.74,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),100.67,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),101.97,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,d_12_5000,,,,,,,,,,,,,,,,,,
IPS Performance(3D),36.624,,,,,,,,,,,,,,,,,,
Core Power(3D),8.04135,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.1247,0.2494,0.2494,0.2494,,,
Bank Power(3D),0.199562,,,,,,,,,,,,,,,,,,
Maximum Layer wise Bank Temperature(3D),99.71,100.26,100.33,99.87,99.85,100.6,100.79,100.33,98.29,99.95,100.6,100.26,93.33,98.29,99.85,99.71,,,
LC Temperature,68.27,,,,,,,,,,,,,,,,,,
Core Temperature(3D),71.82,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),100.79,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),102.09,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,d_13_5000,,,,,,,,,,,,,,,,,,
IPS Performance(3D),69.552,,,,,,,,,,,,,,,,,,
Core Power(3D),11.2079,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.1247,0.2494,0.2494,,,
Bank Power(3D),0.199562,,,,,,,,,,,,,,,,,,
Maximum Layer wise Bank Temperature(3D),99.75,100.25,100.28,99.82,100.03,100.56,100.67,100.22,99.37,99.46,100.12,100.03,97.78,95.29,98.6,99.33,,,
LC Temperature,79.41,,,,,,,,,,,,,,,,,,
Core Temperature(3D),84.53,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),100.67,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),101.97,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,d_14_5000,,,,,,,,,,,,,,,,,,
IPS Performance(3D),24.192,,,,,,,,,,,,,,,,,,
Core Power(3D),8.12109,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.1247,0.2494,,,
Bank Power(3D),0.199562,,,,,,,,,,,,,,,,,,
Maximum Layer wise Bank Temperature(3D),99.82,100.28,100.25,99.75,100.22,100.67,100.56,100.03,100.03,100.12,99.46,99.37,99.33,98.6,95.29,97.78,,,
LC Temperature,77.97,,,,,,,,,,,,,,,,,,
Core Temperature(3D),76.5,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),100.67,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),101.97,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,d_15_5000,,,,,,,,,,,,,,,,,,
IPS Performance(3D),29.232,,,,,,,,,,,,,,,,,,
Core Power(3D),8.20502,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.1247,,,
Bank Power(3D),0.199562,,,,,,,,,,,,,,,,,,
Maximum Layer wise Bank Temperature(3D),99.87,100.33,100.26,99.71,100.33,100.79,100.6,99.85,100.26,100.6,99.95,98.29,99.71,99.85,98.29,93.33,,,
LC Temperature,75.96,,,,,,,,,,,,,,,,,,
Core Temperature(3D),75.76,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),100.79,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),102.09,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,libquantum,,,,,,,,,,,,,,,,,,
IPS Performance(3D),18.711,,,,,,,,,,,,,,,,,,
Core Power(3D),6.58967,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.13002,,,,,,,,,,,,,,,,,,
Bank Power(3D),0.106925,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),82.28,80.93,78.97,76.41,73.27,69.57,65.31,60.52,,,,,,,,,,,
LC Temperature,68.38,,,,,,,,,,,,,,,,,,
Core Temperature(3D),68.47,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),82.28,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),83.03,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,omnetpp,,,,,,,,,,,,,,,,,,
IPS Performance(3D),21.168,,,,,,,,,,,,,,,,,,
Core Power(3D),6.7983,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.123371,,,,,,,,,,,,,,,,,,
Bank Power(3D),0.103025,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),81.53,80.22,78.3,75.81,72.73,69.1,64.93,60.24,,,,,,,,,,,
LC Temperature,70.26,,,,,,,,,,,,,,,,,,
Core Temperature(3D),69.82,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),81.53,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),82.25,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,calculix,,,,,,,,,,,,,,,,,,
IPS Performance(3D),62.16,,,,,,,,,,,,,,,,,,
Core Power(3D),14.061,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.02364,,,,,,,,,,,,,,,,,,
Bank Power(3D),0.00140955,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),65.75,65.01,63.92,62.51,60.77,58.72,56.36,53.7,,,,,,,,,,,
LC Temperature,84.33,,,,,,,,,,,,,,,,,,
Core Temperature(3D),93.77,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),65.75,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),66.17,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,cactusADM,,,,,,,,,,,,,,,,,,
IPS Performance(3D),40.992,,,,,,,,,,,,,,,,,,
Core Power(3D),10.9611,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.065995,,,,,,,,,,,,,,,,,,
